tempo;Temperatura;Umidita;pm1;pm2.5;pm10
2024-06-07 14:51:14;29.51;49.533;0.0;0.0;0.0
2024-06-07 14:52:39;30.105;50.301;0.0;0.0;0.0
2024-06-07 14:52:44;30.303;49.861;2.214;3.156;8.234
2024-06-07 14:52:49;30.329;49.866;2.363;4.233;5.581
2024-06-07 14:52:54;30.359;49.831;2.324;4.614;13.597
2024-06-07 14:52:59;30.359;49.794;2.116;3.884;7.06
2024-06-07 14:54:29;30.415;49.678;1.852;3.275;7.978
2024-06-07 14:54:34;31.112;49.958;0.254;0.278;0.278
2024-06-07 14:54:39;31.083;49.423;0.624;1.003;1.037
2024-06-07 14:54:44;31.083;50.041;0.554;0.888;12.43
2024-06-07 14:54:49;31.099;51.29;0.36;0.761;0.878
2024-06-07 14:54:54;31.112;55.872;0.325;1.73;2.793
2024-06-07 14:54:59;31.155;58.994;0.769;2.224;5.405
2024-06-07 14:55:04;31.181;59.264;1.802;2.541;6.754
2024-06-07 14:55:09;31.211;53.594;2.141;4.13;7.186
2024-06-07 14:55:14;31.267;50.225;1.729;3.623;5.168
2024-06-07 14:55:19;31.253;49.002;2.283;5.435;20.927
2024-06-07 14:55:24;31.309;48.516;2.189;4.949;12.64
2024-06-07 14:55:29;31.339;48.186;1.972;4.102;5.68
2024-06-07 14:55:34;31.366;47.893;2.115;4.633;19.729
2024-06-07 14:55:39;31.408;47.801;2.363;4.852;15.591
2024-06-07 14:55:44;31.422;47.716;2.119;3.332;13.056
2024-06-07 14:55:49;31.464;47.623;2.059;3.953;9.747
2024-06-07 15:25:50;31.507;47.431;349.306;908.649;3956.687
2024-06-07 15:29:28;32.813;44.931;0.0;0.0;0.0
2024-06-07 15:29:33;32.856;44.849;2.43;4.13;11.936
2024-06-07 15:29:38;32.856;44.823;2.547;5.117;9.638
2024-06-07 15:29:43;32.813;44.982;2.239;4.709;10.732
2024-06-07 15:29:48;32.8;45.027;2.398;3.778;9.61
2024-06-07 15:29:53;32.786;44.94;2.211;3.861;6.221
2024-06-07 15:29:58;32.77;44.789;2.631;5.294;13.243
2024-06-07 15:30:03;32.813;44.855;2.254;2.869;2.922
2024-06-07 15:30:08;32.786;45.165;2.239;2.847;2.999
2024-06-07 15:30:13;32.8;45.436;2.288;5.456;7.513
2024-06-07 15:30:18;32.8;45.549;2.566;5.328;11.138
2024-06-07 15:33:52;32.8;45.276;2.297;4.535;18.068
2024-06-07 15:33:58;32.869;44.937;2.589;4.994;16.018
2024-06-07 15:34:04;32.842;44.846;2.57;4.552;28.153
2024-06-07 15:34:10;32.829;44.858;2.218;3.641;4.859
2024-06-07 15:41:31;32.829;44.908;12.762;25.194;84.603
2024-06-07 15:42:27;32.898;45.29;1.655;3.22;11.95
2024-06-07 15:42:37;32.829;45.505;2.22;4.532;8.945
2024-06-07 15:42:47;32.8;45.513;2.203;3.932;19.419
2024-06-07 15:42:57;32.829;45.293;2.326;5.347;7.063
2024-06-07 15:43:02;32.829;45.082;2.231;4.18;6.663
2024-06-07 15:43:12;32.842;45.07;2.382;4.651;23.378
2024-06-07 15:43:22;32.813;45.29;2.227;4.441;5.596
2024-06-07 15:43:32;32.829;45.119;2.19;4.206;16.321
2024-06-07 15:43:42;32.813;45.116;2.259;4.435;13.837
2024-06-07 16:18:33;nan;nan;nan;nan;nan
2024-06-07 16:18:38;nan;nan;nan;nan;nan
2024-06-07 16:19:28;nan;nan;nan;nan;nan
2024-06-07 16:21:31;32.957;44.689;-18.332;-42.591;-58.94
2024-06-07 16:24:16;32.944;67.1;-16.783;-37.846;-145.836
2024-06-07 16:26:40;32.928;66.4;-9.288;-19.86;-71.537
2024-06-07 16:27:10;32.928;65.9;-9.047;-12.494;-95.82
2024-06-07 16:27:20;32.957;65.8;-8.323;-25.511;-68.753
2024-06-07 16:27:45;32.944;65.6;-9.719;-28.873;-90.808
2024-06-07 16:29:35;32.986;66.6;-9.271;-21.288;-90.51
2024-06-07 16:30:05;33.0;67.1;-7.673;-20.603;-134.917
2024-06-07 16:31:35;33.029;68.5;-10.202;-38.109;-216.725
2024-06-07 16:31:40;33.029;67.9;-9.411;-20.033;-71.635
2024-06-07 16:31:55;33.056;66.8;-9.208;-20.88;-96.979
2024-06-07 16:32:10;33.056;66.4;-8.855;-21.504;-29.778
2024-06-07 16:32:35;33.056;66.5;-10.002;-20.949;-47.711
2024-06-07 16:33:35;33.056;67.7;-9.026;-25.113;-63.114
2024-06-07 16:36:30;33.043;67.2;-11.064;-25.841;-145.983
2024-06-07 16:36:35;33.043;67.4;-10.266;-30.674;-96.883
2024-06-07 16:36:40;33.043;67.4;-10.002;-21.158;-279.124
2024-06-07 16:38:52;33.013;66.7;1.28;2.452;3.942
2024-06-07 16:38:57;33.013;66.7;1.156;2.359;18.744
2024-06-07 16:39:02;33.013;66.7;1.079;1.565;12.22
2024-06-07 16:39:57;33.056;97.9;-2.348;-7.031;-10.937
2024-06-07 16:40:02;33.056;99.9;-2.14;-4.269;-32.106
2024-06-07 16:40:07;33.069;85.5;-1.2;-2.057;-12.524
2024-06-07 16:41:32;33.069;65.2;0.758;1.804;12.781
